Student,Subject,Status
Alice Azure,Art,FAILED
Alice Azure,Biology,PASSED
Alice Azure,Chemistry,PASSED
Alice Azure,Computer Science,FAILED
Alice Azure,Economics,PASSED
Alice Azure,English,PASSED
Alice Azure,Geography,FAILED
Alice Azure,History,PASSED
Alice Azure,Mathematics,FAILED
Alice Azure,Music,FAILED
Alice Azure,Philosophy,FAILED
Alice Azure,Physics,PASSED
Alice Azure,Psychology,PASSED
Alice Azure,Sociology,PASSED
Alice Azure,Statistics,PASSED
Alice Black,Art,FAILED
Alice Black,Biology,PASSED
Alice Black,Chemistry,PASSED
Alice Black,Computer Science,FAILED
Alice Black,Economics,PASSED
Alice Black,English,PASSED
Alice Black,Geography,FAILED
Alice Black,History,FAILED
Alice Black,Mathematics,FAILED
Alice Black,Music,FAILED
Alice Black,Philosophy,PASSED
Alice Black,Physics,FAILED
Alice Black,Psychology,PASSED
Alice Black,Sociology,PASSED
Alice Black,Statistics,PASSED
Alice Blue,Art,FAILED
Alice Blue,Biology,PASSED
Alice Blue,Chemistry,PASSED
Alice Blue,Computer Science,PASSED
Alice Blue,Economics,PASSED
Alice Blue,English,PASSED
Alice Blue,Geography,FAILED
Alice Blue,History,FAILED
Alice Blue,Mathematics,FAILED
Alice Blue,Music,FAILED
Alice Blue,Philosophy,PASSED
Alice Blue,Physics,FAILED
Alice Blue,Psychology,PASSED
Alice Blue,Sociology,FAILED
Alice Blue,Statistics,PASSED
Alice Brown,Art,FAILED
Alice Brown,Biology,PASSED
Alice Brown,Chemistry,PASSED
Alice Brown,Computer Science,FAILED
Alice Brown,Economics,PASSED
Alice Brown,English,PASSED
Alice Brown,Geography,FAILED
Alice Brown,History,FAILED
Alice Brown,Mathematics,FAILED
Alice Brown,Music,FAILED
Alice Brown,Philosophy,PASSED
Alice Brown,Physics,FAILED
Alice Brown,Psychology,FAILED
Alice Brown,Sociology,FAILED
Alice Brown,Statistics,PASSED
Alice Cyan,Art,PASSED
Alice Cyan,Biology,PASSED
Alice Cyan,Chemistry,PASSED
Alice Cyan,Computer Science,FAILED
Alice Cyan,Economics,PASSED
Alice Cyan,English,FAILED
Alice Cyan,Geography,FAILED
Alice Cyan,History,PASSED
Alice Cyan,Mathematics,FAILED
Alice Cyan,Music,FAILED
Alice Cyan,Philosophy,PASSED
Alice Cyan,Physics,FAILED
Alice Cyan,Psychology,PASSED
Alice Cyan,Sociology,FAILED
Alice Cyan,Statistics,PASSED
Alice Davis,Art,FAILED
Alice Davis,Biology,PASSED
Alice Davis,Chemistry,PASSED
Alice Davis,Computer Science,FAILED
Alice Davis,Economics,PASSED
Alice Davis,English,PASSED
Alice Davis,Geography,FAILED
Alice Davis,History,PASSED
Alice Davis,Mathematics,FAILED
Alice Davis,Music,FAILED
Alice Davis,Philosophy,PASSED
Alice Davis,Physics,FAILED
Alice Davis,Psychology,PASSED
Alice Davis,Sociology,FAILED
Alice Davis,Statistics,PASSED
Alice Gray,Art,PASSED
Alice Gray,Biology,PASSED
Alice Gray,Chemistry,PASSED
Alice Gray,Computer Science,FAILED
Alice Gray,Economics,PASSED
Alice Gray,English,PASSED
Alice Gray,Geography,FAILED
Alice Gray,History,FAILED
Alice Gray,Mathematics,FAILED
Alice Gray,Music,PASSED
Alice Gray,Philosophy,FAILED
Alice Gray,Physics,FAILED
Alice Gray,Psychology,PASSED
Alice Gray,Sociology,FAILED
Alice Gray,Statistics,PASSED
Alice Green,Art,FAILED
Alice Green,Biology,PASSED
Alice Green,Chemistry,PASSED
Alice Green,Computer Science,PASSED
Alice Green,Economics,PASSED
Alice Green,English,FAILED
Alice Green,Geography,FAILED
Alice Green,History,PASSED
Alice Green,Mathematics,FAILED
Alice Green,Music,PASSED
Alice Green,Philosophy,FAILED
Alice Green,Physics,FAILED
Alice Green,Psychology,PASSED
Alice Green,Sociology,FAILED
Alice Green,Statistics,PASSED
Alice Indigo,Art,FAILED
Alice Indigo,Biology,PASSED
Alice Indigo,Chemistry,PASSED
Alice Indigo,Computer Science,FAILED
Alice Indigo,Economics,PASSED
Alice Indigo,English,FAILED
Alice Indigo,Geography,PASSED
Alice Indigo,History,PASSED
Alice Indigo,Mathematics,FAILED
Alice Indigo,Music,FAILED
Alice Indigo,Philosophy,PASSED
Alice Indigo,Physics,FAILED
Alice Indigo,Psychology,PASSED
Alice Indigo,Sociology,PASSED
Alice Indigo,Statistics,PASSED
Alice Johnson,Art,FAILED
Alice Johnson,Biology,PASSED
Alice Johnson,Chemistry,PASSED
Alice Johnson,Computer Science,FAILED
Alice Johnson,Economics,PASSED
Alice Johnson,English,FAILED
Alice Johnson,Geography,FAILED
Alice Johnson,History,FAILED
Alice Johnson,Mathematics,FAILED
Alice Johnson,Music,PASSED
Alice Johnson,Philosophy,PASSED
Alice Johnson,Physics,FAILED
Alice Johnson,Psychology,PASSED
Alice Johnson,Sociology,PASSED
Alice Johnson,Statistics,PASSED
Alice Magenta,Art,FAILED
Alice Magenta,Biology,PASSED
Alice Magenta,Chemistry,PASSED
Alice Magenta,Computer Science,FAILED
Alice Magenta,Economics,PASSED
Alice Magenta,English,PASSED
Alice Magenta,Geography,FAILED
Alice Magenta,History,PASSED
Alice Magenta,Mathematics,FAILED
Alice Magenta,Music,FAILED
Alice Magenta,Philosophy,FAILED
Alice Magenta,Physics,FAILED
Alice Magenta,Psychology,FAILED
Alice Magenta,Sociology,PASSED
Alice Magenta,Statistics,PASSED
Alice Orange,Art,PASSED
Alice Orange,Biology,PASSED
Alice Orange,Chemistry,PASSED
Alice Orange,Computer Science,FAILED
Alice Orange,Economics,PASSED
Alice Orange,English,FAILED
Alice Orange,Geography,FAILED
Alice Orange,History,FAILED
Alice Orange,Mathematics,PASSED
Alice Orange,Music,FAILED
Alice Orange,Philosophy,PASSED
Alice Orange,Physics,FAILED
Alice Orange,Psychology,PASSED
Alice Orange,Sociology,PASSED
Alice Orange,Statistics,PASSED
Alice Pink,Art,FAILED
Alice Pink,Biology,PASSED
Alice Pink,Chemistry,PASSED
Alice Pink,Computer Science,FAILED
Alice Pink,Economics,PASSED
Alice Pink,English,PASSED
Alice Pink,Geography,FAILED
Alice Pink,History,FAILED
Alice Pink,Mathematics,FAILED
Alice Pink,Music,FAILED
Alice Pink,Philosophy,PASSED
Alice Pink,Physics,FAILED
Alice Pink,Psychology,PASSED
Alice Pink,Sociology,PASSED
Alice Pink,Statistics,PASSED
Alice Purple,Art,FAILED
Alice Purple,Biology,PASSED
Alice Purple,Chemistry,PASSED
Alice Purple,Computer Science,FAILED
Alice Purple,Economics,PASSED
Alice Purple,English,PASSED
Alice Purple,Geography,FAILED
Alice Purple,History,FAILED
Alice Purple,Mathematics,FAILED
Alice Purple,Music,FAILED
Alice Purple,Philosophy,FAILED
Alice Purple,Physics,PASSED
Alice Purple,Psychology,FAILED
Alice Purple,Sociology,PASSED
Alice Purple,Statistics,PASSED
Alice Red,Art,FAILED
Alice Red,Biology,PASSED
Alice Red,Chemistry,PASSED
Alice Red,Computer Science,FAILED
Alice Red,Economics,PASSED
Alice Red,English,PASSED
Alice Red,Geography,FAILED
Alice Red,History,FAILED
Alice Red,Mathematics,PASSED
Alice Red,Music,FAILED
Alice Red,Philosophy,PASSED
Alice Red,Physics,FAILED
Alice Red,Psychology,FAILED
Alice Red,Sociology,FAILED
Alice Red,Statistics,PASSED
Alice Teal,Art,FAILED
Alice Teal,Biology,PASSED
Alice Teal,Chemistry,PASSED
Alice Teal,Computer Science,FAILED
Alice Teal,Economics,PASSED
Alice Teal,English,PASSED
Alice Teal,Geography,FAILED
Alice Teal,History,FAILED
Alice Teal,Mathematics,FAILED
Alice Teal,Music,FAILED
Alice Teal,Philosophy,FAILED
Alice Teal,Physics,FAILED
Alice Teal,Psychology,FAILED
Alice Teal,Sociology,FAILED
Alice Teal,Statistics,PASSED
Alice Violet,Art,PASSED
Alice Violet,Biology,PASSED
Alice Violet,Chemistry,PASSED
Alice Violet,Computer Science,FAILED
Alice Violet,Economics,PASSED
Alice Violet,English,PASSED
Alice Violet,Geography,FAILED
Alice Violet,History,PASSED
Alice Violet,Mathematics,FAILED
Alice Violet,Music,PASSED
Alice Violet,Philosophy,FAILED
Alice Violet,Physics,FAILED
Alice Violet,Psychology,FAILED
Alice Violet,Sociology,FAILED
Alice Violet,Statistics,PASSED
Alice White,Art,FAILED
Alice White,Biology,PASSED
Alice White,Chemistry,PASSED
Alice White,Computer Science,FAILED
Alice White,Economics,PASSED
Alice White,English,PASSED
Alice White,Geography,FAILED
Alice White,History,PASSED
